Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      9.53     0.00    16289     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>)
  0.00      9.53     0.00     2121     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.00      9.53     0.00      720     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      9.53     0.00      320     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
  0.00      9.53     0.00      320     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      9.53     0.00      320     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00      9.53     0.00      280     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      9.53     0.00      202     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      9.53     0.00      163     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      9.53     0.00      163     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      9.53     0.00      163     0.00     0.00  std::allocator<double>::~allocator()
  0.00      9.53     0.00      162     0.00     0.00  __gnu_cxx::new_allocator<double>::_M_max_size() const
